Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
ALEXANDER John,28-Nov-10,28-Nov-10,Canberra,Sittings of Parliament,1,233.00,,233.00,25http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALEXANDER_John.pdf12ALEXANDER John
BUTLER Mark,28-Nov-10,29-Nov-10,Canberra,Sittings of Parliament,2,233.00,,466.00,25http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf21BUTLER Mark
RAMSEY Rowan,29-Nov-10,29-Nov-10,Adelaide,Sittings of Parliament ,0,107.00,,-126**see original,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T29/RAMSEY_Rowan.pdf24RAMSEY Rowan
GILLARD Julia,1-Dec-10,2-Dec-10,Brisbane,Prime Minister,2,526.00,,"1,052.00",57http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/GILLARD_Julia.pdf25GILLARD Julia
LAMING Andrew,1-Dec-10,9-Dec-10,Sydney,Shadow Minister - ,9,360.00,,"3,240.00",11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/LAMING_Andrew.pdf20LAMING Andrew
MCGAURAN Julian,1-Dec-10,1-Dec-10,Sydney,Rural and Regional  Affairs and Transport  (Sen/Stand),1,360.00,,360.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MCGAURAN_Julian.pdf13MCGAURAN Julian
ALBANESE Anthony,2-Dec-10,2-Dec-10,Brisbane,Minister/Office Holder ,1,391.00,,391.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ALBANESE_Anthony.pdf22ALBANESE Anthony
CLARE Jason,2-Dec-10,2-Dec-10,Ipswich,Minister/Office Holder ,1,345.00,,345.00,36http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/CLARE_Jason.pdf18CLARE Jason
FAULKNER John,2-Dec-10,2-Dec-10,Canberra,Non-Statutory Body ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/FAULKNER_John.pdf12FAULKNER John
WILKIE Andrew,2-Dec-10,2-Dec-10,Canberra,Electorate Business,1,233.00,,233.00,46http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WILKIE_Andrew.pdf15WILKIE Andrew
MIRABELLA Sophie,4-Dec-10,4-Dec-10,Mansfield,Electorate Business,1,227.00,,227.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MIRABELLA_Sophie.pdf24MIRABELLA Sophie
O'CONNOR Brendan,5-Dec-10,5-Dec-10,Brisbane,Minister/Office Holder ,1,391.00,,391.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/O'CONNOR_Brendan.pdf15O'CONNOR Brendan
SNOWDON Warren,5-Dec-10,5-Dec-10,Townsville,Minister/Office Holder ,1,345.00,,345.00,27http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf22SNOWDON Warren
BUTLER Mark,6-Dec-10,7-Dec-10,Canberra,Minister/Office Holder ,2,233.00,,466.00,33http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf21BUTLER Mark
KATTER Bob,6-Dec-10,7-Dec-10,Cairns,Electorate Business,2,258.00,,516.00,18http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/KATTER_Bob.pdf25KATTER Bob
MACKLIN Jenny,6-Dec-10,6-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MACKLIN_Jenny.pdf21MACKLIN Jenny
SCULLION Nigel,6-Dec-10,6-Dec-10,Port Macquarie,Shadow Minister -  Official Business,1,250.00,,250.00,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf22SCULLION Nigel
SNOWDON Warren,6-Dec-10,8-Dec-10,Canberra,Minister/Office Holder ,3,233.00,,699.00,35http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SNOWDON_Warren.pdf22SNOWDON Warren
WONG Penny,6-Dec-10,7-Dec-10,Canberra,Minister/Office Holder ,2,233.00,,466.00,19http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/WONG_Penny.pdf20WONG Penny
HANSON-YOUNG Sarah,7-Dec-10,7-Dec-10,Melbourne,Parliamentary Political  Party Meeting ,-1,332.00,,-332**see original,21http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T29/HANSON-YOUNG_Sarah.pdf23HANSON-YOUNG Sarah
JENSEN Dennis,7-Dec-10,7-Dec-10,Canberra,"Foreign Affairs, ",1,233.00,,233.00,20http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/JENSEN_Dennis.pdf19JENSEN Dennis
SCULLION Nigel,7-Dec-10,7-Dec-10,Tamworth,Shadow Minister -  Official Business,1,246.00,,246.00,34http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf22SCULLION Nigel
SHORTEN Bill,7-Dec-10,7-Dec-10,Canberra,Minister/Office Holder ,1,233.00,,233.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SHORTEN_Bill.pdf22SHORTEN Bill
BUTLER Mark,8-Dec-10,8-Dec-10,Sydney,Minister/Office Holder ,1,420.00,,420.00,41http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/BUTLER_Mark.pdf21BUTLER Mark
ENTSCH Warren,8-Dec-10,8-Dec-10,Cooktown,Electorate Business,1,227.00,,227.00,11http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/ENTSCH_Warren.pdf18ENTSCH Warren
MARLES Richard,8-Dec-10,8-Dec-10,Sydney,Parliamentary Secretary ,1,140.00,,140.00,26http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/MARLES_Richard.pdf19MARLES Richard
SCULLION Nigel,8-Dec-10,8-Dec-10,Sydney,Shadow Minister -  Official Business,1,360.00,,360.00,42http://www.finance.gov.au/publications/parliamentarians-reporting/docs/T28/SCULLION_Nigel.pdf22SCULLION Nigel
