Politician,Date from,Date to,Location,Details,No. of nights,Rate,Spouse,Amount,url
FAULKNER John,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
FERGUSON Laurie,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
ROWLAND Michelle,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
COLLINS Jacinta,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
CONROY Stephen,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
DREYFUS Mark,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
GRIFFIN Alan,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
KING Catherine,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
MITCHELL Rob,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
SHORTEN Bill,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
THOMSON Kelvin,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
TILLEM Mehmet,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
CHALMERS Jim,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
FURNER Mark,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
LUDWIG Joe,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
MOORE Claire,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
NEUMANN Shayne,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
PERRETT Graham,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
PRATT Louise,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
BUTLER Mark,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
ELLIS Kate,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
GALLACHER Alex,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
RISHWORTH Amanda,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
WONG Penny,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
BROWN Carol,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
COLLINS Julie,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
NIKOLIC Andrew,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
SINGH Lisa,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
THORP Lin,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
URQUHART Anne,13-Oct-13,13-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
BURKE Anna,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
CHESTERS Lisa,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
O%27CONNOR Brendan,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
MACFARLANE Ian,13-Oct-13,14-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
MCLUCAS Jan,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
RIPOLL Bernie,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
GOODENOUGH Ian,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
MACTIERNAN Alannah,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
FARRELL Don,13-Oct-13,14-Oct-13,Canberra,Shadow Minister - Official Business,2,$268.00,,$536.00,
SNOWDON Warren,13-Oct-13,14-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
FIFIELD Mitch,13-Oct-13,15-Oct-13,Canberra,Minister - Official Business,3,$268.00,,$804.00,
KROGER Helen,13-Oct-13,15-Oct-13,Canberra,Chief Whip - Official Business,3,$268.00,,$804.00,
MASON Brett,13-Oct-13,15-Oct-13,Canberra,Parliamentary Secretary - Official Business,3,$268.00,,$804.00,
BIRMINGHAM Simon,13-Oct-13,13-Oct-13,Berri,Parliamentary Secretary - Official Business,1,$357.00,,$357.00,
COLBECK Richard,13-Oct-13,14-Oct-13,Adelaide,Parliamentary Secretary - Official Business,2,$376.00,,$752.00,
SCULLION Nigel,13-Oct-13,14-Oct-13,Adelaide,Minister - Official Business,2,$376.00,,$752.00,
BALDWIN Bob,13-Oct-13,13-Oct-13,Sydney,Parliamentary Secretary - Official Business,1,$432.00,,$432.00,
CHESTER Darren,13-Oct-13,13-Oct-13,Melbourne,Electorate Business,1,$432.00,,$432.00,
TUDGE Alan,13-Oct-13,13-Oct-13,Perth,Parliamentary Secretary - Official Business,1,$493.00,,$493.00,
WONG Penny,14-Oct-13,14-Oct-13,Sydney,Leader of the Opposition in the Senate - Official Business,1,$432.00,,$432.00,
TRUSS Warren,14-Oct-13,17-Oct-13,Canberra,Deputy Prime Minister - Official Business,4,$268.00,$20.00,"$1,092.00",
DUTTON Peter,14-Oct-13,14-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
JOYCE Barnaby,14-Oct-13,14-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
BRIGGS Jamie,14-Oct-13,14-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
CLAYDON Sharon,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
COULTON Mark,14-Oct-13,15-Oct-13,Canberra,Chief Whip - Official Business,2,$268.00,,$536.00,
HAYES Chris,14-Oct-13,15-Oct-13,Canberra,Chief Whip - Official Business,2,$268.00,,$536.00,
HOGAN Kevin,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
LAUNDY Craig,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
MORRISON Scott,14-Oct-13,15-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
ROBB Andrew,14-Oct-13,15-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
RYAN Joanne,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
BRANDIS George,14-Oct-13,15-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
BROUGH Mal,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
BUCHHOLZ Scott,14-Oct-13,15-Oct-13,Canberra,Whip - Representing Chief Whip,2,$268.00,,$536.00,
HOWARTH Luke,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
JONES Ewen,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
LANDRY Michelle,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
SCOTT Bruce,14-Oct-13,15-Oct-13,Canberra,Deputy Speaker - Official Business,2,$268.00,,$536.00,
PORTER Christian,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
PRICE Melissa,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
WILSON Rick,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
PASIN Tony,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
PYNE Christopher,14-Oct-13,15-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
ABETZ Eric,14-Oct-13,15-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
WHITELEY Brett,14-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
CONROY Pat,14-Oct-13,16-Oct-13,Canberra,Official Government or Vice-Regal Function,3,$268.00,,$804.00,
CORMANN Mathias,14-Oct-13,16-Oct-13,Canberra,Minister - Official Business,3,$268.00,,$804.00,
HUTCHINSON Eric,14-Oct-13,16-Oct-13,Canberra,Official Government or Vice-Regal Function,3,$268.00,,$804.00,
NASH Fiona,14-Oct-13,17-Oct-13,Canberra,Minister - Official Business,4,$268.00,,"$1,072.00",
KATTER Bob,14-Oct-13,14-Oct-13,Cairns,Electorate Business,1,$286.00,,$286.00,
O%27DOWD Ken,14-Oct-13,15-Oct-13,Emerald,Electorate Business,2,$302.00,,$604.00,
RUSTON Anne,14-Oct-13,14-Oct-13,Adelaide,Representing Minister or Presiding Officer,1,$354.00,,$354.00,
MILNE Christine,14-Oct-13,15-Oct-13,Alice Springs,Party Leader - Official Business,2,$357.00,,$714.00,
JOHNSTON David,14-Oct-13,15-Oct-13,Adelaide,Minister - Official Business,2,$376.00,,$752.00,
HARTSUYKER Luke,14-Oct-13,14-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
BILLSON Bruce,14-Oct-13,14-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
ROBERT Stuart,14-Oct-13,14-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
KEENAN Michael,14-Oct-13,14-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
BALDWIN Bob,14-Oct-13,14-Oct-13,Perth,Parliamentary Secretary - Official Business,1,$493.00,,$493.00,
ENTSCH Warren,15-Oct-13,16-Oct-13,Cooktown,Electorate Business,2,$253.00,,$506.00,
BALDWIN Bob,15-Oct-13,15-Oct-13,Canberra,Parliamentary Secretary - Official Business,1,$268.00,,$268.00,
FEENEY David,15-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,1,$268.00,,$268.00,
GILES Andrew,15-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,1,$268.00,,$268.00,
O%27NEIL Clare,15-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,1,$268.00,,$268.00,
ROBERT Stuart,15-Oct-13,15-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
KEENAN Michael,15-Oct-13,15-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
MACTIERNAN Alannah,15-Oct-13,15-Oct-13,Canberra,Official Government or Vice-Regal Function,1,$268.00,,$268.00,
BROAD Andrew,15-Oct-13,16-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
BURKE Anna,15-Oct-13,16-Oct-13,Canberra,Speaker - Official Business,2,$268.00,,$536.00,
CHESTERS Lisa,15-Oct-13,16-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
GOODENOUGH Ian,15-Oct-13,16-Oct-13,Canberra,Official Government or Vice-Regal Function,2,$268.00,,$536.00,
COLBECK Richard,15-Oct-13,16-Oct-13,Canberra,Parliamentary Secretary - Official Business,2,$268.00,,$536.00,
MACFARLANE Ian,15-Oct-13,16-Oct-13,Brisbane,Minister - Official Business,2,$419.00,,$838.00,
GILLARD Julia,15-Oct-13,15-Oct-13,Sydney,Former Prime Minister - Official Business,1,$432.00,,$432.00,
CASH Michaelia,15-Oct-13,15-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
BRIGGS Jamie,15-Oct-13,16-Oct-13,Sydney,Minister - Official Business,2,$432.00,,$864.00,
ABBOTT Tony,15-Oct-13,15-Oct-13,Perth,Prime Minister,1,$558.00,,$558.00,
MILNE Christine,16-Oct-13,16-Oct-13,Sydney,Party Leader - Official Business,1,$144.00,,$144.00,
MADIGAN John,16-Oct-13,16-Oct-13,Charlton,Electorate Business,1,$253.00,,$253.00,
KATTER Bob,16-Oct-13,16-Oct-13,Hughenden,Electorate Business,1,$253.00,,$253.00,
BALDWIN Bob,16-Oct-13,16-Oct-13,Canberra,Parliamentary Secretary - Official Business,1,$268.00,,$268.00,
HOGAN Kevin,16-Oct-13,16-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
MCCORMACK Michael,16-Oct-13,16-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
STONE Sharman,16-Oct-13,16-Oct-13,Canberra,Electorate Business,1,$268.00,,$268.00,
CASH Michaelia,16-Oct-13,16-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
RUSTON Anne,16-Oct-13,16-Oct-13,Canberra,Electorate Business,1,$268.00,,$268.00,
COULTON Mark,16-Oct-13,17-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
HARTSUYKER Luke,16-Oct-13,17-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
JOYCE Barnaby,16-Oct-13,17-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
LANDRY Michelle,16-Oct-13,17-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
O%27DOWD Ken,16-Oct-13,17-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
SCOTT Bruce,16-Oct-13,17-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
JOHNSTON David,16-Oct-13,17-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
PAYNE Marise,16-Oct-13,16-Oct-13,Alice Springs,Minister - Official Business,1,$357.00,,$357.00,
WILLIAMS John,16-Oct-13,16-Oct-13,Sydney,Electorate Business,1,$375.00,,$375.00,
SINODINOS Arthur,16-Oct-13,16-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
FIFIELD Mitch,16-Oct-13,16-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
BRANDIS George,16-Oct-13,16-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
ABETZ Eric,16-Oct-13,16-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
DUTTON Peter,16-Oct-13,17-Oct-13,Melbourne,Minister - Official Business,2,$432.00,,$864.00,
WONG Penny,17-Oct-13,17-Oct-13,Sydney,Leader of the Opposition in the Senate - Official Business,1,$432.00,,$432.00,
BRIGGS Jamie,17-Oct-13,17-Oct-13,Perth,Minister - Official Business,1,$165.00,,$165.00,
MCCORMACK Michael,17-Oct-13,17-Oct-13,Canberra,Parliamentary Secretary - Official Business,1,$268.00,,$268.00,
WILLIAMS John,17-Oct-13,17-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
ANDREWS Kevin,17-Oct-13,17-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
HOGG John,17-Oct-13,17-Oct-13,Canberra,President of the Senate - Official Business,1,$268.00,,$268.00,
PITT Keith,17-Oct-13,17-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
PYNE Christopher,17-Oct-13,17-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
SNOWDON Warren,17-Oct-13,18-Oct-13,Canberra,Shadow Minister - Official Business,2,$268.00,,$536.00,
ENTSCH Warren,17-Oct-13,17-Oct-13,Horn Island,Electorate Business,1,$326.00,,$326.00,
LEY Sussan,17-Oct-13,17-Oct-13,Lovedale,Minister - Official Business,1,$357.00,,$357.00,
BALDWIN Bob,17-Oct-13,17-Oct-13,Sydney,Parliamentary Secretary - Official Business,1,$432.00,,$432.00,
CASH Michaelia,17-Oct-13,17-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
TAYLOR Angus,18-Oct-13,18-Oct-13,Young,Electorate Business,1,$253.00,,$253.00,
WILSON Rick,18-Oct-13,19-Oct-13,Esperance,Electorate Business,2,$278.00,,$556.00,
PRICE Melissa,18-Oct-13,18-Oct-13,Geraldton,Electorate Business,1,$321.00,,$321.00,
NASH Fiona,18-Oct-13,18-Oct-13,Darwin,Minister - Official Business,1,$451.00,,$451.00,
ABBOTT Tony,18-Oct-13,18-Oct-13,Adelaide,Prime Minister,1,$558.00,,$558.00,
HOGAN Kevin,19-Oct-13,19-Oct-13,Grafton,Electorate Business,1,$253.00,,$253.00,
COLBECK Richard,19-Oct-13,19-Oct-13,Hobart,Electorate Business,1,$362.00,,$322.00,
WONG Penny,20-Oct-13,21-Oct-13,Canberra,Leader of the Opposition in the Senate - Official Business,2,$268.00,,$536.00,
FEENEY David,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
MCLUCAS Jan,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
NEUMANN Shayne,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
CASH Michaelia,20-Oct-13,20-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
GRAY Gary,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
PARKE Melissa,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
SMITH Dean,20-Oct-13,20-Oct-13,Canberra,Electorate Business,1,$268.00,,$268.00,
ELLIS Kate,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
ZAPPIA Tony,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
POLLEY Helen,20-Oct-13,20-Oct-13,Canberra,Parliamentary Political Party Meeting,1,$268.00,,$268.00,
HARTSUYKER Luke,20-Oct-13,21-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
MORRISON Scott,20-Oct-13,21-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
CARR Kim,20-Oct-13,21-Oct-13,Canberra,Shadow Minister - Official Business,2,$268.00,,$536.00,
RIPOLL Bernie,20-Oct-13,21-Oct-13,Canberra,Parliamentary Political Party Meeting,2,$268.00,,$536.00,
FIFIELD Mitch,20-Oct-13,23-Oct-13,Canberra,Minister - Official Business,4,$268.00,,"$1,072.00",
BILLSON Bruce,20-Oct-13,20-Oct-13,Gold Coast,Minister - Official Business,1,$357.00,,$357.00,
SCULLION Nigel,20-Oct-13,20-Oct-13,Cairns,Minister - Official Business,1,$357.00,,$357.00,
ROBERT Stuart,20-Oct-13,20-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
BISHOP Julie,20-Oct-13,20-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
KEENAN Michael,20-Oct-13,23-Oct-13,Sydney,Minister - Official Business,4,$432.00,,"$1,728.00",
FITZGIBBON Joel,21-Oct-13,21-Oct-13,Canberra,Shadow Minister - Official Business,1,$268.00,,$268.00,
SINODINOS Arthur,21-Oct-13,21-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
BILLSON Bruce,21-Oct-13,21-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
ROBB Andrew,21-Oct-13,21-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
DUTTON Peter,21-Oct-13,21-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
ROBERT Stuart,21-Oct-13,21-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
CORMANN Mathias,21-Oct-13,21-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
MILNE Christine,21-Oct-13,21-Oct-13,Canberra,Party Leader - Official Business,1,$268.00,,$268.00,
HOCKEY Joe,21-Oct-13,22-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
KROGER Helen,21-Oct-13,22-Oct-13,Canberra,Chief Whip - Official Business,2,$268.00,,$536.00,
BRANDIS George,21-Oct-13,22-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
MACFARLANE Ian,21-Oct-13,22-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
BISHOP Julie,21-Oct-13,22-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
SCULLION Nigel,21-Oct-13,22-Oct-13,Canberra,Minister - Official Business,2,$268.00,,$536.00,
RONALDSON Michael,21-Oct-13,23-Oct-13,Canberra,Minister - Official Business,3,$268.00,,$804.00,
RONALDSON Michael,21-Oct-13,23-Oct-13,Canberra,Minister - Official Business,3,$268.00,,$804.00,
PYNE Christopher,21-Oct-13,23-Oct-13,Canberra,Minister - Official Business,3,$268.00,,$804.00,
NASH Fiona,21-Oct-13,24-Oct-13,Canberra,Minister - Official Business,4,$268.00,,"$1,072.00",
PERIS Nova,21-Oct-13,24-Oct-13,Alice Springs,Electorate Business,4,$296.00,,"$1,184.00",
BIRMINGHAM Simon,21-Oct-13,21-Oct-13,Moree,Parliamentary Secretary - Official Business,1,$357.00,,$357.00,
CASH Michaelia,21-Oct-13,21-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
ABETZ Eric,21-Oct-13,21-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
JOYCE Barnaby,21-Oct-13,22-Oct-13,Sydney,Minister - Official Business,2,$432.00,,$864.00,
SNOWDON Warren,22-Oct-13,22-Oct-13,Melbourne,Electorate Business,1,$374.00,,$374.00,
WILSON Rick,22-Oct-13,22-Oct-13,Perth,Electorate Business,1,$134.00,,$134.00,
PASIN Tony,22-Oct-13,22-Oct-13,Murray Bridge,Electorate Business,1,$253.00,,$253.00,
BUCHHOLZ Scott,22-Oct-13,22-Oct-13,Canberra,Electorate Business,1,$268.00,,$268.00,
MASON Brett,22-Oct-13,22-Oct-13,Canberra,Parliamentary Secretary - Official Business,1,$268.00,,$268.00,
BRIGGS Jamie,22-Oct-13,22-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
BILYK Catryna,22-Oct-13,22-Oct-13,Canberra,Electorate Business,1,$268.00,,$268.00,
CASH Michaelia,22-Oct-13,24-Oct-13,Canberra,Minister - Official Business,3,$268.00,,$804.00,
MACDONALD Ian,22-Oct-13,22-Oct-13,Cairns,Electorate Business,1,$286.00,,$286.00,
RAMSEY Rowan,22-Oct-13,22-Oct-13,Whyalla,Electorate Business,1,$291.00,,$291.00,
BIRMINGHAM Simon,22-Oct-13,22-Oct-13,Goondiwindi,Parliamentary Secretary - Official Business,1,$357.00,,$357.00,
HARTSUYKER Luke,22-Oct-13,22-Oct-13,Brisbane,Minister - Official Business,1,$419.00,,$419.00,
BALDWIN Bob,22-Oct-13,22-Oct-13,Sydney,Parliamentary Secretary - Official Business,1,$432.00,,$432.00,
CIOBO Steven,22-Oct-13,22-Oct-13,Sydney,Parliamentary Secretary - Official Business,1,$432.00,,$432.00,
MILNE Christine,22-Oct-13,22-Oct-13,Melbourne,Party Leader - Official Business,1,$432.00,,$432.00,
ABBOTT Tony,22-Oct-13,24-Oct-13,Melbourne,Prime Minister,3,$558.00,,"$1,674.00",
WONG Penny,23-Oct-13,23-Oct-13,Sydney,Leader of the Government in the Senate - Official Business,1,$432.00,,$432.00,
DI NATALE Richard,23-Oct-13,23-Oct-13,Melbourne,Electorate Business,1,$125.00,,$125.00,
BALDWIN Bob,23-Oct-13,23-Oct-13,Canberra,Parliamentary Secretary - Official Business,1,$268.00,,$268.00,
DUTTON Peter,23-Oct-13,23-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
MCCORMACK Michael,23-Oct-13,24-Oct-13,Canberra,Parliamentary Secretary - Official Business,2,$268.00,,$536.00,
RAMSEY Rowan,23-Oct-13,24-Oct-13,Port Pirie,Electorate Business,2,$286.00,,$572.00,
HUTCHINSON Eric,23-Oct-13,23-Oct-13,Hobart,Electorate Business,1,$322.00,,$322.00,
CHESTER Darren,23-Oct-13,23-Oct-13,Sale,Electorate Business,1,$357.00,,$253.00,
COLBECK Richard,23-Oct-13,24-Oct-13,Hobart,Parliamentary Secretary - Official Business,2,$362.00,,$724.00,
RYAN Scott,23-Oct-13,23-Oct-13,Sydney,Parliamentary Secretary - Official Business,1,$432.00,,$432.00,
MACFARLANE Ian,23-Oct-13,23-Oct-13,Sydney,Minister - Official Business,1,$432.00,,$432.00,
MASON Brett,23-Oct-13,23-Oct-13,Sydney,Parliamentary Secretary - Official Business,1,$432.00,,$432.00,
BRIGGS Jamie,23-Oct-13,23-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
SCULLION Nigel,23-Oct-13,23-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
COLLINS Jacinta,24-Oct-13,24-Oct-13,Adelaide,Shadow Parliamentary Secretary - Official Business,1,$354.00,,$354.00,
BISHOP Julie,24-Oct-13,24-Oct-13,Canberra,Minister - Official Business,1,$268.00,,$268.00,
BROAD Andrew,24-Oct-13,25-Oct-13,Horsham,Electorate Business,2,$278.00,,$556.00,
KATTER Bob,24-Oct-13,24-Oct-13,Cairns,Electorate Business,1,$286.00,,$286.00,
POLLEY Helen,24-Oct-13,24-Oct-13,Hobart,Electorate Business,1,$322.00,,$322.00,
SMITH Dean,24-Oct-13,24-Oct-13,Albany,Electorate Business,1,$325.00,,$325.00,
FEENEY David,24-Oct-13,24-Oct-13,Adelaide,Electorate Business,1,$354.00,,$354.00,
BILYK Catryna,24-Oct-13,24-Oct-13,Adelaide,Electorate Business,1,$354.00,,$354.00,
MACFARLANE Ian,24-Oct-13,24-Oct-13,Devonport,Minister - Official Business,1,$357.00,,$357.00,
FITZGIBBON Joel,24-Oct-13,24-Oct-13,Sydney,Electorate Business,1,$375.00,,$375.00,
BUTLER Mark,24-Oct-13,24-Oct-13,Sydney,Shadow Minister - Official Business,1,$375.00,,$375.00,
HARTSUYKER Luke,24-Oct-13,24-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
LEY Sussan,24-Oct-13,24-Oct-13,Melbourne,Minister - Official Business,1,$432.00,,$432.00,
CIOBO Steven,24-Oct-13,24-Oct-13,Sydney,Parliamentary Secretary - Official Business,1,$432.00,,$432.00,
BALDWIN Bob,24-Oct-13,24-Oct-13,Perth,Parliamentary Secretary - Official Business,1,$493.00,,$493.00,
RONALDSON Michael,24-Oct-13,25-Oct-13,Perth,Minister - Official Business,2,$493.00,,$986.00,
RONALDSON Michael,24-Oct-13,25-Oct-13,Perth,Minister - Official Business,2,$493.00,,$986.00,
CORMANN Mathias,25-Oct-13,25-Oct-13,Hobart,Minister - Official Business,-1,$362.00,,-$362.00,
HUTCHINSON Eric,25-Oct-13,26-Oct-13,Hobart,Electorate Business,2,$108.00,,$216.00,
PERIS Nova,25-Oct-13,25-Oct-13,Uluru,Electorate Business,1,$253.00,,$253.00,
STONE Sharman,25-Oct-13,26-Oct-13,Alice Springs,Representing Minister or Presiding Officer,2,$296.00,,$592.00,
