politician,url,datefrom,dateto,details,location,rate,nights,key,amount,spouse,note,lat,lon,electorate,state,party,partygroup,house,withinelectorate,
O'CONNOR Brendan,http://www.finance.gov.au/sites/default/files/P35_O'CONNOR_Brendan.pdf,13-Aug-14,13-Aug-14,Shadow Minister - Official Business,Hobart,$322.00,1,76http://www.finance.gov.au/sites/default/files/P35_O'CONNOR_Brendan.pdf5P35 O'CONNOR Brendan,$322.00,,,-42.8819032,147.3238148,Gorton,VIC,Labor,Labor,lower,no,
PARRY Stephen,http://www.finance.gov.au/sites/default/files/P35_PARRY_Stephen.pdf,13-Aug-14,13-Aug-14,Electorate Business,Launceston,$357.00,1,84http://www.finance.gov.au/sites/default/files/P35_PARRY_Stephen.pdf5P35 PARRY Stephen,$357.00,,,-41.4261807,147.1124679,,TAS,Liberal,Coalition,senate,,
PORTER Christian,http://www.finance.gov.au/sites/default/files/P35_PORTER_Christian.pdf,13-Aug-14,13-Aug-14,Aboriginal and Torres Strait Islander Affairs,Melbourne,$374.00,1,34http://www.finance.gov.au/sites/default/files/P35_PORTER_Christian.pdf5P35 PORTER Christian,$374.00,,,-37.814107,144.96328,Pearce,WA,Liberal,Coalition,lower,no,
PAYNE Marise,http://www.finance.gov.au/sites/default/files/P35_PAYNE_Marise.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Melbourne,$432.00,1,41http://www.finance.gov.au/sites/default/files/P35_PAYNE_Marise.pdf5P35 PAYNE Marise,$432.00,,,-37.814107,144.96328,,NSW,Liberal,Coalition,senate,,
BRANDIS George,http://www.finance.gov.au/sites/default/files/P35_BRANDIS_George.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Melbourne,$432.00,1,111http://www.finance.gov.au/sites/default/files/P35_BRANDIS_George.pdf5P35 BRANDIS George,$432.00,,,-37.814107,144.96328,,QLD,Liberal,Coalition,senate,,
BIRMINGHAM Simon,http://www.finance.gov.au/sites/default/files/P35_BIRMINGHAM_Simon.pdf,13-Aug-14,13-Aug-14,Parliamentary Secretary - Official Business,Melbourne,$432.00,1,55http://www.finance.gov.au/sites/default/files/P35_BIRMINGHAM_Simon.pdf5P35 BIRMINGHAM Simon,$432.00,,,-37.814107,144.96328,,SA,Liberal,Coalition,senate,,
KING Catherine,http://www.finance.gov.au/sites/default/files/P35_KING_Catherine.pdf,13-Aug-14,13-Aug-14,Shadow Minister - Official Business,Melbourne,$374.00,1,62http://www.finance.gov.au/sites/default/files/P35_KING_Catherine.pdf5P35 KING Catherine,$374.00,,,-37.814107,144.96328,Ballarat,VIC,Labor,Labor,lower,no,
MCKENZIE Bridget,http://www.finance.gov.au/sites/default/files/P35_MCKENZIE_Bridget.pdf,13-Aug-14,13-Aug-14,Constitutional Recognition of Aboriginal  and Torres Strait Islander Peoples,Melbourne,$374.00,1,78http://www.finance.gov.au/sites/default/files/P35_MCKENZIE_Bridget.pdf5P35 MCKENZIE Bridget,$374.00,,,-37.814107,144.96328,,VIC,National,Coalition,senate,,
WYATT Ken,http://www.finance.gov.au/sites/default/files/P35_WYATT_Ken.pdf,13-Aug-14,13-Aug-14,Constitutional Recognition of Aboriginal  and Torres Strait Islander Peoples,Melbourne,$374.00,1,90http://www.finance.gov.au/sites/default/files/P35_WYATT_Ken.pdf5P35 WYATT Ken,$374.00,,,-37.814107,144.96328,Hasluck,WA,Liberal,Coalition,lower,no,
ALEXANDER John,http://www.finance.gov.au/sites/default/files/P35_ALEXANDER_John.pdf,13-Aug-14,13-Aug-14,Chair Parl Committee on Committee  Business,Melbourne,$374.00,1,35http://www.finance.gov.au/sites/default/files/P35_ALEXANDER_John.pdf5P35 ALEXANDER John,$374.00,,,-37.814107,144.96328,Bennelong,NSW,Liberal,Coalition,lower,no,
MCGOWAN Cathy,http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf,13-Aug-14,13-Aug-14,Electorate Business,Benalla,$253.00,1,48http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf5P35 MCGOWAN Cathy,$253.00,,,-36.5514956,145.9817019,Indi,VIC,Independent,Independent,lower,yes,
WILSON Rick,http://www.finance.gov.au/sites/default/files/P35_WILSON_Rick.pdf,13-Aug-14,13-Aug-14,Electorate Business,Walpole,$253.00,1,97http://www.finance.gov.au/sites/default/files/P35_WILSON_Rick.pdf5P35 WILSON Rick,$253.00,,,-34.9761286,116.7319101,O'Connor,WA,Liberal,Coalition,lower,yes,
SWAN Wayne,http://www.finance.gov.au/sites/default/files/P35_SWAN_Wayne.pdf,13-Aug-14,13-Aug-14,Electorate Business,Sydney,$375.00,1,20http://www.finance.gov.au/sites/default/files/P35_SWAN_Wayne.pdf5P35 SWAN Wayne,$375.00,,,-33.8674869,151.2069902,Lilley,QLD,Labor,Labor,lower,no,
SHORTEN Bill,http://www.finance.gov.au/sites/default/files/P35_SHORTEN_Bill.pdf,13-Aug-14,13-Aug-14,Leader of the Opposition - Official Business,Perth,$493.00,1,56http://www.finance.gov.au/sites/default/files/P35_SHORTEN_Bill.pdf5P35 SHORTEN Bill,$493.00,,,-31.9535132,115.8570471,Maribyrnong,VIC,Labor,Labor,lower,no,
HOCKEY Joe,http://www.finance.gov.au/sites/default/files/P35_HOCKEY_Joe.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Perth,$165.00,1,76http://www.finance.gov.au/sites/default/files/P35_HOCKEY_Joe.pdf5P35 HOCKEY Joe,$165.00,,,-31.9535132,115.8570471,North Sydney,NSW,Liberal,Coalition,lower,no,
RISHWORTH Amanda,http://www.finance.gov.au/sites/default/files/P35_RISHWORTH_Amanda.pdf,13-Aug-14,13-Aug-14,Shadow Minister - Official Business,Perth,$401.00,1,62http://www.finance.gov.au/sites/default/files/P35_RISHWORTH_Amanda.pdf5P35 RISHWORTH Amanda,$401.00,,,-31.9535132,115.8570471,Kingston,SA,Labor,Labor,lower,no,
COULTON Mark,http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf,13-Aug-14,13-Aug-14,Electorate Business,Coonabarabran,$253.00,1,132http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf5P35 COULTON Mark,$253.00,,,-31.2739131,149.2774205,Parkes,NSW,National,Coalition,lower,yes,
ANDREWS Kevin,http://www.finance.gov.au/sites/default/files/P35_ANDREWS_Kevin.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Coonabarabran,$357.00,1,99http://www.finance.gov.au/sites/default/files/P35_ANDREWS_Kevin.pdf5P35 ANDREWS Kevin,$357.00,,,-31.2739131,149.2774205,Menzies,VIC,Liberal,Coalition,lower,no,
FIFIELD Mitch,http://www.finance.gov.au/sites/default/files/P35_FIFIELD_Mitch.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Coonabarabran,$357.00,1,93http://www.finance.gov.au/sites/default/files/P35_FIFIELD_Mitch.pdf5P35 FIFIELD Mitch,$357.00,,,-31.2739131,149.2774205,,VIC,Liberal,Coalition,senate,,
JOYCE Barnaby,http://www.finance.gov.au/sites/default/files/P35_JOYCE_Barnaby1.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Brisbane,$419.00,1,97http://www.finance.gov.au/sites/default/files/P35_JOYCE_Barnaby1.pdf5P35 JOYCE Barnaby1,$419.00,,,-27.4710107,153.0234489,New England,NSW,National,Coalition,lower,no,
ABETZ Eric,http://www.finance.gov.au/sites/default/files/P35_ABETZ_Eric.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Brisbane,$419.00,1,93http://www.finance.gov.au/sites/default/files/P35_ABETZ_Eric.pdf5P35 ABETZ Eric,$419.00,,,-27.4710107,153.0234489,,TAS,Liberal,Coalition,senate,,
O'SULLIVAN Barry,http://www.finance.gov.au/sites/default/files/P35_O'SULLIVAN_Barry.pdf,13-Aug-14,13-Aug-14,Electorate Business,Windorah,$253.00,1,76http://www.finance.gov.au/sites/default/files/P35_O'SULLIVAN_Barry.pdf5P35 O'SULLIVAN Barry,$253.00,,,-25.4227091,142.6557984,,QLD,National,Coalition,senate,,
LANDRY Michelle,http://www.finance.gov.au/sites/default/files/P35_LANDRY_Michelle.pdf,13-Aug-14,13-Aug-14,Electorate Business,Dysart,$253.00,1,62http://www.finance.gov.au/sites/default/files/P35_LANDRY_Michelle.pdf5P35 LANDRY Michelle,$253.00,,,-22.5880689,148.3484557,Capricornia,QLD,National,Coalition,lower,yes,
JOHNSTON David,http://www.finance.gov.au/sites/default/files/P35_JOHNSTON_David.pdf,13-Aug-14,13-Aug-14,Minister - Official Business,Darwin,$451.00,1,76http://www.finance.gov.au/sites/default/files/P35_JOHNSTON_David.pdf5P35 JOHNSTON David,$451.00,,,-12.4628271,130.8417772,,WA,Liberal,Coalition,senate,,
CLARE Jason,http://www.finance.gov.au/sites/default/files/P35_CLARE_Jason.pdf,13-Aug-14,13-Aug-14,Shadow Minister - Official Business,Darwin,$415.00,1,41http://www.finance.gov.au/sites/default/files/P35_CLARE_Jason.pdf5P35 CLARE Jason,$415.00,,,-12.4628271,130.8417772,Blaxland,NSW,Labor,Labor,lower,no,
RONALDSON Michael,http://www.finance.gov.au/sites/default/files/P35_RONALDSON_Michael.pdf,13-Aug-14,14-Aug-14,Minister - Official Business,Melbourne,$432.00,2,104http://www.finance.gov.au/sites/default/files/P35_RONALDSON_Michael.pdf5P35 RONALDSON Michael,$864.00,,,-37.814107,144.96328,,VIC,Liberal,Coalition,senate,,
BURKE Tony,http://www.finance.gov.au/sites/default/files/P35_BURKE_Tony.pdf,13-Aug-14,14-Aug-14,Shadow Minister - Official Business,Melbourne,$374.00,2,48http://www.finance.gov.au/sites/default/files/P35_BURKE_Tony.pdf5P35 BURKE Tony,$748.00,,,-37.814107,144.96328,Watson,NSW,Labor,Labor,lower,no,
CARR Kim,http://www.finance.gov.au/sites/default/files/P35_CARR_Kim.pdf,13-Aug-14,14-Aug-14,Shadow Minister - Official Business,Canberra,$268.00,2,69http://www.finance.gov.au/sites/default/files/P35_CARR_Kim.pdf5P35 CARR Kim,$536.00,,,-35.2819998,149.1286843,,VIC,Labor,Labor,senate,,
HEFFERNAN Bill,http://www.finance.gov.au/sites/default/files/P35_HEFFERNAN_Bill.pdf,13-Aug-14,14-Aug-14,Electorate Business,Sydney,$375.00,2,55http://www.finance.gov.au/sites/default/files/P35_HEFFERNAN_Bill.pdf5P35 HEFFERNAN Bill,$750.00,,,-33.8674869,151.2069902,,NSW,Liberal,Coalition,senate,,
MACFARLANE Ian,http://www.finance.gov.au/sites/default/files/P35_MACFARLANE_Ian.pdf,13-Aug-14,14-Aug-14,Minister - Official Business,Darwin,$451.00,2,111http://www.finance.gov.au/sites/default/files/P35_MACFARLANE_Ian.pdf5P35 MACFARLANE Ian,$902.00,,,-12.4628271,130.8417772,Groom,QLD,Liberal,Coalition,lower,no,
HUTCHINSON Eric,http://www.finance.gov.au/sites/default/files/P35_HUTCHINSON_Eric.pdf,14-Aug-14,14-Aug-14,Electorate Business,Melbourne,$374.00,1,48http://www.finance.gov.au/sites/default/files/P35_HUTCHINSON_Eric.pdf5P35 HUTCHINSON Eric,$374.00,,,-37.814107,144.96328,Lyons,TAS,Liberal,Coalition,lower,no,
GALLACHER Alex,http://www.finance.gov.au/sites/default/files/P35_GALLACHER_Alex.pdf,14-Aug-14,14-Aug-14,"Foreign Affairs, Defence and Trade - JSC",Melbourne,$374.00,1,48http://www.finance.gov.au/sites/default/files/P35_GALLACHER_Alex.pdf5P35 GALLACHER Alex,$374.00,,,-37.814107,144.96328,,SA,Labor,Labor,senate,,
NIKOLIC Andrew,http://www.finance.gov.au/sites/default/files/P35_NIKOLIC_Andrew.pdf,14-Aug-14,14-Aug-14,"Foreign Affairs, Defence and Trade - JSC",Melbourne,$374.00,1,34http://www.finance.gov.au/sites/default/files/P35_NIKOLIC_Andrew.pdf5P35 NIKOLIC Andrew,$374.00,,,-37.814107,144.96328,Bass,TAS,Liberal,Coalition,lower,no,
SINGH Lisa,http://www.finance.gov.au/sites/default/files/P35_SINGH_Lisa.pdf,14-Aug-14,14-Aug-14,"Foreign Affairs, Defence and Trade - JSC",Melbourne,$374.00,1,48http://www.finance.gov.au/sites/default/files/P35_SINGH_Lisa.pdf5P35 SINGH Lisa,$374.00,,,-37.814107,144.96328,,TAS,Labor,Labor,senate,,
STONE Sharman,http://www.finance.gov.au/sites/default/files/P35_STONE_Sharman.pdf,14-Aug-14,14-Aug-14,"Foreign Affairs, Defence and Trade - JSC",Melbourne,$374.00,1,41http://www.finance.gov.au/sites/default/files/P35_STONE_Sharman.pdf5P35 STONE Sharman,$374.00,,,-37.814107,144.96328,Murray,VIC,Liberal,Coalition,lower,no,
COLBECK Richard,http://www.finance.gov.au/sites/default/files/P35_COLBECK_Richard.pdf,14-Aug-14,14-Aug-14,Parliamentary Secretary - Official Business,Melbourne,$432.00,1,104http://www.finance.gov.au/sites/default/files/P35_COLBECK_Richard.pdf5P35 COLBECK Richard,$432.00,,,-37.814107,144.96328,,TAS,Liberal,Coalition,senate,,
MCGRATH James,http://www.finance.gov.au/sites/default/files/P35_MCGRATH_James.pdf,14-Aug-14,14-Aug-14,Constitutional Recognition of Aboriginal  and Torres Strait Islander Peoples,Melbourne,$374.00,1,70http://www.finance.gov.au/sites/default/files/P35_MCGRATH_James.pdf5P35 MCGRATH James,$374.00,,,-37.814107,144.96328,,QLD,Liberal,Coalition,senate,,
BRIGGS Jamie,http://www.finance.gov.au/sites/default/files/P35_BRIGGS_Jamie.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Canberra,$268.00,1,98http://www.finance.gov.au/sites/default/files/P35_BRIGGS_Jamie.pdf5P35 BRIGGS Jamie,$278.00,$10.00,,-35.2819998,149.1286843,Mayo,SA,Liberal,Coalition,lower,no,
WONG Penny,http://www.finance.gov.au/sites/default/files/P35_WONG_Penny.pdf,14-Aug-14,14-Aug-14,Intelligence and Security,Canberra,$268.00,1,76http://www.finance.gov.au/sites/default/files/P35_WONG_Penny.pdf5P35 WONG Penny,$268.00,,,-35.2819998,149.1286843,,SA,Labor,Labor,senate,,
BYRNE Anthony,http://www.finance.gov.au/sites/default/files/P35_BYRNE_Anthony.pdf,14-Aug-14,14-Aug-14,Intelligence and Security,Canberra,$268.00,1,27http://www.finance.gov.au/sites/default/files/P35_BYRNE_Anthony.pdf5P35 BYRNE Anthony,$268.00,,,-35.2819998,149.1286843,Holt,VIC,Labor,Labor,lower,no,
PARRY Stephen,http://www.finance.gov.au/sites/default/files/P35_PARRY_Stephen.pdf,14-Aug-14,14-Aug-14,President of the Senate - Official Business,Canberra,$268.00,1,91http://www.finance.gov.au/sites/default/files/P35_PARRY_Stephen.pdf5P35 PARRY Stephen,$268.00,,,-35.2819998,149.1286843,,TAS,Liberal,Coalition,senate,,
TEHAN Dan,http://www.finance.gov.au/sites/default/files/P35_TEHAN_Dan.pdf,14-Aug-14,14-Aug-14,Chair Parl Committee on Committee  Business,Canberra,$268.00,1,42http://www.finance.gov.au/sites/default/files/P35_TEHAN_Dan.pdf5P35 TEHAN Dan,$268.00,,,-35.2819998,149.1286843,Wannon,VIC,Liberal,Coalition,lower,no,
LEY Sussan,http://www.finance.gov.au/sites/default/files/P35_LEY_Sussan.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Adelaide,$376.00,1,120http://www.finance.gov.au/sites/default/files/P35_LEY_Sussan.pdf5P35 LEY Sussan,$376.00,,,-34.9286212,138.5999594,Farrer,NSW,Liberal,Coalition,lower,no,
ROBERT Stuart,http://www.finance.gov.au/sites/default/files/P35_ROBERT_Stuart.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Sydney,$432.00,1,76http://www.finance.gov.au/sites/default/files/P35_ROBERT_Stuart.pdf5P35 ROBERT Stuart,$432.00,,,-33.8674869,151.2069902,Fadden,QLD,Liberal,Coalition,lower,no,
PYNE Christopher,http://www.finance.gov.au/sites/default/files/P35_PYNE_Christopher.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Sydney,$432.00,1,84http://www.finance.gov.au/sites/default/files/P35_PYNE_Christopher.pdf5P35 PYNE Christopher,$432.00,,,-33.8674869,151.2069902,Sturt,SA,Liberal,Coalition,lower,no,
ABETZ Eric,http://www.finance.gov.au/sites/default/files/P35_ABETZ_Eric.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Sydney,$432.00,1,100http://www.finance.gov.au/sites/default/files/P35_ABETZ_Eric.pdf5P35 ABETZ Eric,$432.00,,,-33.8674869,151.2069902,,TAS,Liberal,Coalition,senate,,
CORMANN Mathias,http://www.finance.gov.au/sites/default/files/P35_CORMANN_Mathias0.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Sydney,$432.00,1,56http://www.finance.gov.au/sites/default/files/P35_CORMANN_Mathias0.pdf5P35 CORMANN Mathias0,$432.00,,,-33.8674869,151.2069902,,WA,Liberal,Coalition,senate,,
CIOBO Steven,http://www.finance.gov.au/sites/default/files/P35_CIOBO_Steven.pdf,14-Aug-14,14-Aug-14,Parliamentary Secretary - Official Business,Sydney,$432.00,1,41http://www.finance.gov.au/sites/default/files/P35_CIOBO_Steven.pdf5P35 CIOBO Steven,$432.00,,,-33.8674869,151.2069902,Moncrieff,QLD,Liberal,Coalition,lower,no,
MOORE Claire,http://www.finance.gov.au/sites/default/files/P35_MOORE_Claire.pdf,14-Aug-14,14-Aug-14,Shadow Minister - Official Business,Sydney,$375.00,1,104http://www.finance.gov.au/sites/default/files/P35_MOORE_Claire.pdf5P35 MOORE Claire,$375.00,,,-33.8674869,151.2069902,,QLD,Labor,Labor,senate,,
REYNOLDS Linda,http://www.finance.gov.au/sites/default/files/P35_REYNOLDS_Linda.pdf,14-Aug-14,14-Aug-14,Electorate Business,Bunbury,$301.00,1,69http://www.finance.gov.au/sites/default/files/P35_REYNOLDS_Linda.pdf5P35 REYNOLDS Linda,$301.00,,,-33.3270685,115.6391736,,WA,Liberal,Coalition,senate,,
COULTON Mark,http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf,14-Aug-14,14-Aug-14,Electorate Business,Dubbo,$278.00,1,139http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf5P35 COULTON Mark,$278.00,,,-32.2438146,148.6094976,Parkes,NSW,National,Coalition,lower,yes,
ANDREWS Kevin,http://www.finance.gov.au/sites/default/files/P35_ANDREWS_Kevin.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Dubbo,$357.00,1,106http://www.finance.gov.au/sites/default/files/P35_ANDREWS_Kevin.pdf5P35 ANDREWS Kevin,$357.00,,,-32.2438146,148.6094976,Menzies,VIC,Liberal,Coalition,lower,no,
FIFIELD Mitch,http://www.finance.gov.au/sites/default/files/P35_FIFIELD_Mitch.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Dubbo,$357.00,1,100http://www.finance.gov.au/sites/default/files/P35_FIFIELD_Mitch.pdf5P35 FIFIELD Mitch,$357.00,,,-32.2438146,148.6094976,,VIC,Liberal,Coalition,senate,,
WILLIAMS John,http://www.finance.gov.au/sites/default/files/P35_WILLIAMS_John.pdf,14-Aug-14,14-Aug-14,Electorate Business,Murwillumbah,$253.00,1,55http://www.finance.gov.au/sites/default/files/P35_WILLIAMS_John.pdf5P35 WILLIAMS John,$253.00,,,-28.3269383,153.3958572,,NSW,National,Coalition,senate,,
O'SULLIVAN Barry,http://www.finance.gov.au/sites/default/files/P35_O'SULLIVAN_Barry.pdf,14-Aug-14,14-Aug-14,Electorate Business,Longreach,$253.00,1,83http://www.finance.gov.au/sites/default/files/P35_O'SULLIVAN_Barry.pdf5P35 O'SULLIVAN Barry,$253.00,,,-23.4406575,144.2510561,,QLD,National,Coalition,senate,,
BRANDIS George,http://www.finance.gov.au/sites/default/files/P35_BRANDIS_George.pdf,14-Aug-14,14-Aug-14,Minister - Official Business,Darwin,$451.00,1,118http://www.finance.gov.au/sites/default/files/P35_BRANDIS_George.pdf5P35 BRANDIS George,$451.00,,,-12.4628271,130.8417772,,QLD,Liberal,Coalition,senate,,
SNOWDON Warren,http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf,14-Aug-14,16-Aug-14,Electorate Business,Darwin,$415.00,3,71http://www.finance.gov.au/sites/default/files/P35_SNOWDON_Warren.pdf5P35 SNOWDON Warren,"$1,245.00",,,-12.4628271,130.8417772,Lingiari,NT,Labor,Labor,lower,no,
SINGH Lisa,http://www.finance.gov.au/sites/default/files/P35_SINGH_Lisa.pdf,15-Aug-14,15-Aug-14,Electorate Business,Melbourne,$374.00,1,55http://www.finance.gov.au/sites/default/files/P35_SINGH_Lisa.pdf5P35 SINGH Lisa,$374.00,,,-37.814107,144.96328,,TAS,Labor,Labor,senate,,
HENDY Peter,http://www.finance.gov.au/sites/default/files/P35_HENDY_Peter.pdf,15-Aug-14,15-Aug-14,Electorate Business,Bega,$253.00,1,41http://www.finance.gov.au/sites/default/files/P35_HENDY_Peter.pdf5P35 HENDY Peter,$253.00,,,-36.6742276,149.8429277,Eden-Monaro,NSW,Liberal,Coalition,lower,yes,
MCGOWAN Cathy,http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf,15-Aug-14,15-Aug-14,Electorate Business,Wangaratta,$253.00,1,55http://www.finance.gov.au/sites/default/files/P35_MCGOWAN_Cathy.pdf5P35 MCGOWAN Cathy,$253.00,,,-36.3543294,146.3256568,Indi,VIC,Independent,Independent,lower,yes,
KEENAN Michael,http://www.finance.gov.au/sites/default/files/P35_KEENAN_Michael.pdf,15-Aug-14,15-Aug-14,Minister - Official Business,Canberra,$268.00,1,92http://www.finance.gov.au/sites/default/files/P35_KEENAN_Michael.pdf5P35 KEENAN Michael,$278.00,$10.00,,-35.2819998,149.1286843,Stirling,WA,Liberal,Coalition,lower,no,
PASIN Tony,http://www.finance.gov.au/sites/default/files/P35_PASIN_Tony.pdf,15-Aug-14,15-Aug-14,Electorate Business,Berri,$253.00,1,55http://www.finance.gov.au/sites/default/files/P35_PASIN_Tony.pdf5P35 PASIN Tony,$253.00,,,-34.2852369,140.6022954,Barker,SA,Liberal,Coalition,lower,yes,
RAMSEY Rowan,http://www.finance.gov.au/sites/default/files/P35_RAMSEY_Rowan.pdf,15-Aug-14,15-Aug-14,Electorate Business,Port Pirie,$286.00,1,90http://www.finance.gov.au/sites/default/files/P35_RAMSEY_Rowan.pdf5P35 RAMSEY Rowan,$286.00,,,-33.1770846,138.0100573,Grey,SA,Liberal,Coalition,lower,yes,
ANDREWS Kevin,http://www.finance.gov.au/sites/default/files/P35_ANDREWS_Kevin.pdf,15-Aug-14,15-Aug-14,Minister - Official Business,Mudgee,$357.00,1,113http://www.finance.gov.au/sites/default/files/P35_ANDREWS_Kevin.pdf5P35 ANDREWS Kevin,$357.00,,,-32.5905208,149.5887613,Menzies,VIC,Liberal,Coalition,lower,no,
FIFIELD Mitch,http://www.finance.gov.au/sites/default/files/P35_FIFIELD_Mitch.pdf,15-Aug-14,15-Aug-14,Minister - Official Business,Mudgee,$357.00,1,107http://www.finance.gov.au/sites/default/files/P35_FIFIELD_Mitch.pdf5P35 FIFIELD Mitch,$357.00,,,-32.5905208,149.5887613,,VIC,Liberal,Coalition,senate,,
ABBOTT Tony,http://www.finance.gov.au/sites/default/files/P35_ABBOTT_Tony.pdf,15-Aug-14,15-Aug-14,Prime Minister,Mudgee,$558.00,1,48http://www.finance.gov.au/sites/default/files/P35_ABBOTT_Tony.pdf5P35 ABBOTT Tony,$558.00,,,-32.5905208,149.5887613,Warringah,NSW,Liberal,Coalition,lower,no,
O'SULLIVAN Barry,http://www.finance.gov.au/sites/default/files/P35_O'SULLIVAN_Barry.pdf,15-Aug-14,15-Aug-14,Electorate Business,Cloncurry,$253.00,1,90http://www.finance.gov.au/sites/default/files/P35_O'SULLIVAN_Barry.pdf5P35 O'SULLIVAN Barry,$253.00,,,-20.7043534,140.505613,,QLD,National,Coalition,senate,,
BIRMINGHAM Simon,http://www.finance.gov.au/sites/default/files/P35_BIRMINGHAM_Simon.pdf,15-Aug-14,16-Aug-14,Parliamentary Secretary - Official Business,Sydney,$432.00,2,63http://www.finance.gov.au/sites/default/files/P35_BIRMINGHAM_Simon.pdf5P35 BIRMINGHAM Simon,$874.00,$10.00,,-33.8674869,151.2069902,,SA,Liberal,Coalition,senate,,
BRIGGS Jamie,http://www.finance.gov.au/sites/default/files/P35_BRIGGS_Jamie.pdf,15-Aug-14,16-Aug-14,Minister - Official Business,Sydney,$432.00,2,106http://www.finance.gov.au/sites/default/files/P35_BRIGGS_Jamie.pdf5P35 BRIGGS Jamie,$884.00,$20.00,,-33.8674869,151.2069902,Mayo,SA,Liberal,Coalition,lower,no,
COULTON Mark,http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf,15-Aug-14,16-Aug-14,Electorate Business,Mudgee,$281.00,2,146http://www.finance.gov.au/sites/default/files/P35_COULTON_Mark.pdf5P35 COULTON Mark,$562.00,,,-32.5905208,149.5887613,Parkes,NSW,National,Coalition,lower,yes,
CAMERON Doug,http://www.finance.gov.au/sites/default/files/P35_CAMERON_Doug.pdf,15-Aug-14,16-Aug-14,Electorate Business,Muswellbrook,$278.00,2,48http://www.finance.gov.au/sites/default/files/P35_CAMERON_Doug.pdf5P35 CAMERON Doug,$556.00,,,-32.2651665,150.888323,,NSW,Labor,Labor,senate,,
ROBB Andrew,http://www.finance.gov.au/sites/default/files/P35_ROBB_Andrew.pdf,15-Aug-14,16-Aug-14,Minister - Official Business,Hamilton Island,$357.00,2,48http://www.finance.gov.au/sites/default/files/P35_ROBB_Andrew.pdf5P35 ROBB Andrew,$714.00,,,-20.3512228,148.9578898,Goldstein,VIC,Liberal,Coalition,lower,no,
O'NEILL Deborah,http://www.finance.gov.au/sites/default/files/P35_O'NEILL_Deborah1.pdf,15-Aug-14,17-Aug-14,Electorate Business,Wagga Wagga,$287.00,3,69http://www.finance.gov.au/sites/default/files/P35_O'NEILL_Deborah1.pdf5P35 O'NEILL Deborah1,$861.00,,,-35.1250948,147.349649,,NSW,Labor,Labor,senate,,
BURKE Tony,http://www.finance.gov.au/sites/default/files/P35_BURKE_Tony.pdf,16-Aug-14,16-Aug-14,Shadow Minister - Official Business,Canberra,$268.00,1,55http://www.finance.gov.au/sites/default/files/P35_BURKE_Tony.pdf5P35 BURKE Tony,$268.00,,,-35.2819998,149.1286843,Watson,NSW,Labor,Labor,lower,no,
BOWEN Chris,http://www.finance.gov.au/sites/default/files/P35_BOWEN_Chris.pdf,16-Aug-14,16-Aug-14,Shadow Minister - Official Business,Wagga Wagga,$287.00,1,48http://www.finance.gov.au/sites/default/files/P35_BOWEN_Chris.pdf5P35 BOWEN Chris,$287.00,,,-35.1250948,147.349649,McMahon,NSW,Labor,Labor,lower,no,
WILLIAMS John,http://www.finance.gov.au/sites/default/files/P35_WILLIAMS_John.pdf,16-Aug-14,16-Aug-14,Electorate Business,Sydney,$375.00,1,62http://www.finance.gov.au/sites/default/files/P35_WILLIAMS_John.pdf5P35 WILLIAMS John,$375.00,,,-33.8674869,151.2069902,,NSW,National,Coalition,senate,,
RIPOLL Bernie,http://www.finance.gov.au/sites/default/files/P35_RIPOLL_Bernie.pdf,16-Aug-14,16-Aug-14,Shadow Minister - Official Business,Sydney,$375.00,1,34http://www.finance.gov.au/sites/default/files/P35_RIPOLL_Bernie.pdf5P35 RIPOLL Bernie,$375.00,,,-33.8674869,151.2069902,Oxley,QLD,Labor,Labor,lower,no,
