location-to,date,partygroup,count
Brisbane,23/02/2014,Coalition,8
Cairns,23/02/2014,Coalition,2
Darwin,23/02/2014,CLP,2
Melbourne,23/02/2014,Greens,2
Melbourne,23/02/2014,Labor,3
Melbourne,23/02/2014,Coalition,11
Sydney,23/02/2014,Labor,3
Sydney,23/02/2014,Coalition,13
Melbourne,24/02/2014,Labor,2
Brisbane,25/02/2014,Labor,2
Melbourne,25/02/2014,Labor,2
Sydney,25/02/2014,Coalition,3
Sydney,25/02/2014,Labor,3
Tamworth,25/02/2014,Coalition,2
Brisbane,26/02/2014,Coalition,2
Brisbane,26/02/2014,Labor,2
Melbourne,26/02/2014,Coalition,2
Melbourne,26/02/2014,Labor,3
Perth,26/02/2014,Coalition,2
Sydney,26/02/2014,Coalition,2
Adelaide,27/02/2014,Coalition,2
Adelaide,27/02/2014,Labor,6
Brisbane,27/02/2014,Labor,3
Brisbane,27/02/2014,Coalition,9
Coolangatta,27/02/2014,Coalition,4
Melbourne,27/02/2014,Independent,2
Melbourne,27/02/2014,Greens,3
Melbourne,27/02/2014,Coalition,13
Melbourne,27/02/2014,Labor,18
Perth,27/02/2014,Labor,2
Perth,27/02/2014,Coalition,7
Sydney,27/02/2014,Labor,9
Sydney,27/02/2014,Coalition,15
Adelaide,28/02/2014,Labor,6
Adelaide,28/02/2014,Coalition,7
Albury,28/02/2014,Coalition,2
Brisbane,28/02/2014,Labor,8
Brisbane,28/02/2014,Coalition,16
Darwin,28/02/2014,Labor,3
Devonport,28/02/2014,Coalition,2
Hobart,28/02/2014,Labor,2
Hobart,28/02/2014,Coalition,3
Launceston,28/02/2014,Coalition,2
Maroochydore,28/02/2014,Coalition,2
Melbourne,28/02/2014,Greens,2
Melbourne,28/02/2014,Labor,20
Melbourne,28/02/2014,Coalition,25
Perth,28/02/2014,Labor,3
Perth,28/02/2014,Coalition,6
Sydney,28/02/2014,Labor,16
Sydney,28/02/2014,Coalition,17
Adelaide,01/03/2014,Coalition,3
Melbourne,01/03/2014,Labor,2
Sydney,01/03/2014,Coalition,2
Brisbane,02/03/2014,Coalition,3
Melbourne,02/03/2014,Labor,7
Melbourne,02/03/2014,Coalition,15
Sydney,02/03/2014,Labor,5
Sydney,02/03/2014,Coalition,6
Melbourne,03/03/2014,Labor,2
Melbourne,03/03/2014,Coalition,3
Sydney,03/03/2014,Coalition,2
Perth,04/03/2014,Coalition,2
Sydney,04/03/2014,Coalition,2
Sydney,04/03/2014,Labor,2
Melbourne,05/03/2014,Greens,2
Melbourne,05/03/2014,Labor,4
Adelaide,06/03/2014,Greens,2
Adelaide,06/03/2014,Coalition,6
Adelaide,06/03/2014,Labor,6
Brisbane,06/03/2014,Labor,4
Brisbane,06/03/2014,Coalition,12
Hobart,06/03/2014,Labor,2
Melbourne,06/03/2014,Coalition,12
Melbourne,06/03/2014,Labor,27
Perth,06/03/2014,Labor,4
Perth,06/03/2014,Coalition,12
Sydney,06/03/2014,Labor,10
Sydney,06/03/2014,Coalition,19
Adelaide,07/03/2014,Coalition,5
Adelaide,07/03/2014,Labor,8
Brisbane,07/03/2014,Labor,8
Brisbane,07/03/2014,Coalition,11
Coolangatta,07/03/2014,Coalition,2
Darwin,07/03/2014,Labor,2
Devonport,07/03/2014,Coalition,2
Hervey Bay,07/03/2014,Coalition,2
Hobart,07/03/2014,Labor,4
Hobart,07/03/2014,Coalition,5
Melbourne,07/03/2014,Greens,2
Melbourne,07/03/2014,Coalition,17
Melbourne,07/03/2014,Labor,18
Perth,07/03/2014,Labor,3
