datefrom,partygroup,location,count
16/10/2014,Coalition,Sydney,6
18/08/2014,Coalition,Sydney,6
18/02/2014,Coalition,Sydney,6
18/05/2014,Coalition,Sydney,6
18/09/2014,Coalition,Sydney,6
19/08/2014,Coalition,Sydney,6
28/07/2014,Coalition,Sydney,6
06/02/2014,Coalition,Sydney,6
09/09/2014,Coalition,Sydney,6
13/10/2014,Coalition,Sydney,7
30/04/2014,Coalition,Sydney,7
30/01/2014,Coalition,Sydney,7
08/05/2014,Coalition,Sydney,7
06/03/2014,Coalition,Sydney,8
07/02/2014,Coalition,Sydney,8
11/09/2014,Labor,Sydney,9
16/11/2014,Coalition,Sydney,9
22/05/2014,Coalition,Sydney,10
28/04/2014,Coalition,Sydney,10
28/01/2014,Coalition,Sydney,10
04/11/2014,Labor,Sydney,10
12/03/2014,Coalition,Sydney,12
11/08/2014,Coalition,Tamworth,2
25/10/2014,Coalition,Tenterfield,2
29/04/2014,Coalition,Thursday Island,3
01/03/2014,Coalition,Toowoomba,2
28/02/2014,Coalition,Toowoomba,9
14/10/2014,Labor,Townsville,2
22/11/2014,Coalition,Townsville,2
03/04/2014,Coalition,Townsville,2
09/03/2014,Coalition,Townsville,2
22/07/2014,Coalition,Townsville,3
06/05/2014,Coalition,Townsville,3
02/04/2014,Coalition,Townsville,4
21/11/2014,Coalition,Townsville,6
02/09/2013,Coalition,Traralgon,2
31/01/2014,Coalition,Tumbarumba,2
09/09/2014,Coalition,Uluru,2
30/04/2014,Coalition,Warburton,2
02/07/2014,Coalition,Weipa,2
30/07/2014,Coalition,Whyalla,2
